139865559,2K79ZwYS,http://www.cs.csubak.edu/~cchung,,(661) 401-6090
167495791,4Zs_L,http://www.cs.csubak.edu/~csutton,csutton.csub@gmail.com,(661) 959-4341
188687932,?t1VkytN,http://www.cs.csubak.edu/~sgates,,(661) 750-1671
318205259,DXxlmvr,http://www.cs.csubak.edu/~bwang,,
320362253,v9W5q2pD,http://www.cs.csubak.edu/~bgonzale,bill.gonz@hotmail.com,(661) 559-2550
346970481,O8FRsYdH,http://www.cs.csubak.edu/~lwarashk,,(661) 572-3429
412511608,M/wc=,http://www.cs.csubak.edu/~gjobs,,
419425447,Gv/QJGdI,http://www.cs.csubak.edu/~srivers,rivercake@aol.com,
463882377,EsAsjy7,http://www.cs.csubak.edu/~privers,,(661) 245-6027
517173452,p~cfbavt,http://www.cs.csubak.edu/~smeyers,,(661) 125-5780
123,test,,,
