3651553,Mark,L.,Getty,mgetty@cs.csubak.edu,(661) 945-0331
13766087,Conan,S.,Warashky,cwarashk@cs.csubak.edu,(661) 393-7972
21316065,Marc,,Black,mblack@cs.csubak.edu,(661) 492-4758
42840922,William,A.,Sutton,wsutton@cs.csubak.edu,(661) 326-4168
66403651,Chris,E.,Gonzales,cgonzale@cs.csubak.edu,(661) 392-0595
85776546,Eugene,C.,Black,eblack@cs.csubak.edu,(661) 289-2452
89625452,Joseph,B.,Zappa,jzappa@cs.csubak.edu,(661) 348-5098
90141755,Sam,,Smith,ssmith@cs.csubak.edu,(661) 860-0016
106575040,Casey,,Jobs,cjobs@cs.csubak.edu,(661) 663-5469
125109089,Byran,C.,Warashky,bwarashk@cs.csubak.edu,(661) 409-3357
131493310,Sam,,Black,sblack@cs.csubak.edu,(661) 785-1508
133768257,Pat,B.,Kerry,pkerry@cs.csubak.edu,(661) 627-5037
139865559,Casey,E.,Chung,cchung@cs.csubak.edu,(661) 107-4858
141198552,Donna,,Johnson,djohnson@cs.csubak.edu,(661) 630-6610
146209587,Jon,A.,Langen,jlangen@cs.csubak.edu,(661) 581-4637
147650213,Maureen,L.,Tran,mtran@cs.csubak.edu,(661) 391-4379
150120557,Sam,L.,Johnson,sjohnson@cs.csubak.edu,(661) 333-1365
165299473,Mark,J.,Johnson,mjohnson@cs.csubak.edu,(661) 368-3724
167326160,Conan,C.,Danforth,cdanfort@cs.csubak.edu,(661) 396-8122
167495791,Chris,,Sutton,csutton@cs.csubak.edu,(661) 182-2200
169640153,Brian,A.,Piven,bpiven@cs.csubak.edu,(661) 460-7443
172785946,Maureen,P.,Nevsky,mnevsky@cs.csubak.edu,(661) 620-2720
174940733,Bob,F.,Basheta,bbasheta@cs.csubak.edu,(661) 767-5866
185445705,Brenda,E.,Johnson,bjohnson@cs.csubak.edu,(661) 265-2151
186648582,Mark,S.,Thomas,mthomas@cs.csubak.edu,(661) 391-1997
188687932,Sam,L.,Gates,sgates@cs.csubak.edu,(661) 188-8970
197400921,Melissa,A.,Gates,mgates@cs.csubak.edu,(661) 408-6812
199768032,Scott,C.,Chung,schung@cs.csubak.edu,(661) 804-9483
219225017,Donna,P.,Gates,dgates@cs.csubak.edu,(661) 576-6795
225712527,Nick,E.,Zappa,nzappa@cs.csubak.edu,(661) 883-2867
234813752,Jennifer,F.,Thomas,jthomas@cs.csubak.edu,(661) 340-4698
242530867,Bob,C.,Gates,bgates@cs.csubak.edu,(661) 958-2143
242579947,Bob,P.,Martinez,bmartine@cs.csubak.edu,(661) 994-6330
245815123,Jon,B.,Warashky,jwarashk@cs.csubak.edu,(661) 852-5939
253221481,Lauren,F.,Rodregez,lrodrege@cs.csubak.edu,(661) 426-6137
260955005,George,,Meyers,gmeyers@cs.csubak.edu,(661) 965-0212
262329876,Eugene,,Tran,etran@cs.csubak.edu,(661) 388-5155
263996508,Linda,F.,Martinez,lmartine@cs.csubak.edu,(661) 867-7947
272741205,Sam,S.,Sutton,ssutton@cs.csubak.edu,(661) 904-2508
289462976,Pat,E.,Rodregez,prodrege@cs.csubak.edu,(661) 612-8684
300328538,Donna,,Piven,dpiven@cs.csubak.edu,(661) 815-5125
300867195,Scott,,Wang,swang@cs.csubak.edu,(661) 538-4559
313252727,Scott,,Piven,spiven@cs.csubak.edu,(661) 852-0862
318205259,Bob,L.,Wang,bwang@cs.csubak.edu,(661) 131-0177
320362253,Bill,C.,Gonzales,bgonzale@cs.csubak.edu,(661) 214-5916
321141053,Casey,P.,Piven,cpiven@cs.csubak.edu,(661) 307-2742
330200714,Jack,L.,Kerry,jkerry@cs.csubak.edu,(661) 398-5131
338566364,Marc,J.,Danforth,mdanfort@cs.csubak.edu,(661) 312-7029
346970481,Luis,B.,Warashky,lwarashk@cs.csubak.edu,(661) 119-8442
354641836,Mark,A.,Brian,mbrian@cs.csubak.edu,(661) 263-2773
369219713,Linda,E.,Nevsky,lnevsky@cs.csubak.edu,(661) 903-2843
381837284,Scott,,Nevsky,snevsky@cs.csubak.edu,(661) 997-1796
395162265,Jack,F.,Piven,jpiven@cs.csubak.edu,(661) 895-3509
398778602,Eugene,A.,Guteriuz,eguteriu@cs.csubak.edu,(661) 809-6064
412511608,George,S.,Jobs,gjobs@cs.csubak.edu,(661) 157-6179
417420769,Bob,F.,Getty,bgetty@cs.csubak.edu,(661) 580-3951
418911842,Lauren,E.,Black,lblack@cs.csubak.edu,(661) 860-1926
419425447,Sam,F.,Rivers,srivers@cs.csubak.edu,(661) 208-1187
440965598,Melissa,F.,Gonzales,mgonzale@cs.csubak.edu,(661) 714-6265
454422757,Jennifer,S.,Brian,jbrian@cs.csubak.edu,(661) 581-2413
457555131,George,J.,Kerry,gkerry@cs.csubak.edu,(661) 891-8394
459692930,Kris,P.,Warashky,kwarashk@cs.csubak.edu,(661) 538-6041
463882377,Pat,J.,Rivers,privers@cs.csubak.edu,(661) 140-4662
463992699,Casey,L.,Langen,clangen@cs.csubak.edu,(661) 494-0091
465754579,Mark,J.,Chung,mchung@cs.csubak.edu,(661) 556-2538
470389394,Kris,P.,Rivers,krivers@cs.csubak.edu,(661) 881-4836
475493900,Marc,,Smith,msmith@cs.csubak.edu,(661) 445-7466
498943316,Chris,,Kerry,ckerry@cs.csubak.edu,(661) 388-7371
510627845,Marc,F.,Guteriuz,mguteriu@cs.csubak.edu,(661) 528-6521
517173452,Steve,L.,Meyers,smeyers@cs.csubak.edu,(661) 175-8858
123,Test,,Test,,
